RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,TenureByAge,CreditScoreGivenAge
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,0.047619047619047616,14.738095238095237
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446769036217226,0.024390243902439025,14.829268292682928
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.4013745268322026,0.19047619047619047,11.952380952380953
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,0.02564102564102564,17.923076923076923
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870550464631954,0.046511627906976744,19.767441860465116
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7596038935417319,0.18181818181818182,14.659090909090908
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,0.14,16.44
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639693974404694,0.13793103448275862,12.96551724137931
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8955180443151567,0.09090909090909091,11.386363636363637
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.876647055387237,0.07407407407407407,25.333333333333332
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723284483928388,0.1935483870967742,17.032258064516128
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,0.125,20.708333333333332
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,0.29411764705882354,14.0
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,0.2,21.96
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,0.2,18.142857142857142
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,2.2250195329320728,0.06666666666666667,13.688888888888888
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,26.01244882465911,0.017241379310344827,11.258620689655173
